DDD,State,City / Region,Specific Geographic Definition,Commentary / Cultural Context,,
11,SP,São Paulo Metro,São Paulo City, Guarulhos, ABC Paulista,"The ""212"" of Brazil. The economic engine. ""011"" implies hustle business and traffic. Lots of traffic. "
12,SP,Paraíba Valley,São José dos Campos, Aparecida, Ubatuba,The Aviation hub (Embraer HQ) and the pilgrimage center (Aparecida).
13,SP,São Paulo Coast,Santos, Guarujá, Praia Grande,The port city and the weekend beach getaway for Paulistanos.
14,SP,Central West SP,Bauru, Marília,"Known for the ""Bauru"" sandwich and vast university towns.",
15,SP,Southwest SP,Sorocaba, Itapetininga,Major industrial hub close to the capital.,
16,SP,Northeast SP,Ribeirão Preto, Franca,"The ""California of Brazil."" Wealthy agribusiness region (coffee/sugar cane).",
17,SP,Northwest SP,São José do Rio Preto, Barretos,Home of the biggest Rodeo in Latin America (Barretos).,
19,SP,Campinas Region,Campinas, Piracicaba, Limeira,"The ""Silicon Valley of Brazil"" (Unicamp University). Wealthy tech corridor."
21,RJ,Rio de Janeiro,Rio City, Niterói, Duque de Caxias,"The ""Hollywood"" code. Copacabana, Beach, Sugar loaf and Christ the Redeemer. "
22,RJ,Rio Coast (North),Cabo Frio, Búzios, Campos,"The ""Hamptons"" of Rio. Where the wealthy go for holidays (Búzios)."
24,RJ,Rio Mountains/South,Petrópolis, Angra dos Reis, Volta Redonda,Imperial City (Petrópolis) and luxury islands (Angra).
27,ES,Espírito Santo (North),Vitória, Vila Velha, Linhares,The coastal capital. A bridge between the Southeast and Northeast cultures.
28,ES,Espírito Santo (South),Cachoeiro de Itapemirim,"Birthplace of Roberto Carlos (the ""King"" of Brazilian music).",,
31,MG,Belo Horizonte,Belo Horizonte (BH), Ouro Preto,The land of Pão de Queijo. Famous for hospitality and mining wealth.,
32,MG,Zona da Mata,Juiz de Fora, Barbacena,Culturally very close to Rio de Janeiro.,
33,MG,East Minas,Governador Valadares,Historically known for high emigration to the USA (Boston area).,,
34,MG,Triângulo Mineiro,Uberlândia, Uberaba,Rich agribusiness region; culturally closer to Goiás/Sertanejo style.,
35,MG,South Minas,Poços de Caldas, Pouso Alegre,Coffee country and hot springs.,
37,MG,Central West MG,Divinópolis, Itaúna, Clothing manufacturing hub.,
38,MG,North Minas,Montes Claros,Transition zone to the arid Northeast (Sertão).,,
41,PR,Curitiba Metro,Curitiba, Paranaguá,"Famous for urban planning and cold weather. The ""Europe"" of Brazil.",
42,PR,Central Paraná,Ponta Grossa, Guarapuava,Soybean farming and Slavic immigration history.,
43,PR,North Paraná,Londrina, Apucarana,Originally settled by the British; coffee history.,
44,PR,Northwest Paraná,Maringá, Umuarama,Planned cities and agribusiness.,
45,PR,West Paraná,Foz do Iguaçu, Cascavel,Home to the Iguazu Falls and the border with Paraguay/Argentina.,
47,SC,North Santa Catarina,Joinville, Blumenau, Balneário Camboriú,"German heritage (Oktoberfest) and the ""Brazilian Dubai"" (Camboriú skyscrapers)."
48,SC,Florianópolis,Florianópolis (Floripa), Criciúma,Magic Island. A major tech hub and surf capital.,
49,SC,West Santa Catarina,Chapecó,Agribusiness powerhouse.,,
51,RS,Porto Alegre Metro,Porto Alegre, Gramado, Capão da Canoa,"The heart of Gaúcho (cowboy) culture and ""Churrasco"" (BBQ). Includes the Gramado tourist alps."
53,RS,South Rio Grande,Pelotas, Rio Grande,Historic charque (dried meat) region; very cold in winter.,
54,RS,Serra Gaúcha,Caxias do Sul, Bento Gonçalves,"Italian wine country. The ""Napa Valley"" of Brazil.",
55,RS,West/Northwest RS,Santa Maria, Passo Fundo,University towns and vast soy fields.,
61,DF,Brasília (Federal District),Brasília, Taguatinga,"The Political Capital. Designed by Niemeyer. Distinct ""rock band"" scene (Legião Urbana).",
62,GO,Goiás (Metro),Goiânia, Anápolis,The Capital of Sertanejo Music (Brazil's Country Music).,
63,TO,Tocantins,Palmas, Araguaína,The newest state in Brazil (created in 1988). The agricultural frontier.,
65,MT,Mato Grosso (South),Cuiabá, Pantanal Region,Gateway to the Pantanal wetlands and massive soy production.,
66,MT,Mato Grosso (North),Sinop, Sorriso,The absolute heart of global soy farming.,
67,MS,Mato Grosso do Sul,Campo Grande, Bonito,Dourados,Home to Bonito (eco-tourism capital).
68,AC,Acre,Rio Branco,Remote Amazonian state; borders Peru/Bolivia.,,
69,RO,Rondônia,Porto Velho,Major agricultural frontier in the Amazon basin.,,
71,BA,Salvador Metro,Salvador, Camaçari,The heart of Afro-Brazilian culture, Axé music and Carnival
73,BA,South Bahia,Ilhéus, Porto Seguro,Cocoa coast and the site where Portuguese first arrived in 1500.,
75,BA,East/North Bahia,Feira de Santana, Paulo Afonso,Major commercial crossroads of the Northeast.,
77,BA,West Bahia,Barreiras, Luís Eduardo Magalhães,New agricultural frontier (cotton/soy) in the Cerrado.,
79,SE,Sergipe,Aracaju,The smallest state in Brazil.,,
81,PE,Recife Metro,Recife, Olinda, Porto de Galinhas," ""Porto Digital"" (tech hub) and Frevo culture."
82,AL,Alagoas,Maceió, Maragogi,"Known as the ""Brazilian Caribbean"" due to the water color.",
83,PB,Paraíba,João Pessoa, Campina Grande,"Home to the ""Largest São João Festival in the World.""",
84,RN,Rio Grande do Norte,Natal, Pipa,Famous for sand dunes and buggy rides.,
85,CE,Fortaleza Metro,Fortaleza, Jericoacoara (Jeri),Humor capital of Brazil (famous comedians) and windsurfing mecca.,
86,PI,North Piauí,Teresina, Parnaíba,Teresina is the only Northeast capital not on the ocean.,
88,CE,Interior Ceará,Juazeiro do Norte, Sobral,Religious pilgrimage site (Padre Cícero).,
